                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      2.7699999999999849e+00,     -1.6204540748584962e+08,     -5.2045502626080193e+07
      2.7799999999999847e+00,      9.3067479587458920e+08,     -6.6150699176732600e+08
      2.7899999999999845e+00,      1.0491944273147429e+09,     -7.1687843498193896e+08
      2.7999999999999843e+00,      6.0626268216799125e+07,     -1.8066832664706135e+08
      2.8099999999999841e+00,      3.1457792220427716e+08,     -3.8123975194644696e+08
      2.8199999999999839e+00,     -1.8742420534791899e+08,     -1.7763520710805413e+08
      2.8299999999999836e+00,      1.9410446346364640e+07,     -9.7439004674229100e+06
      2.8399999999999834e+00,     -2.6223070084746489e+06,      2.7805342257719287e+06
      2.8499999999999832e+00,      6.3958098002074305e+06,     -5.5130435995830242e+06
      2.8599999999999830e+00,      6.9767980729753703e+07,     -6.9721252198290125e+07
      2.8699999999999828e+00,      2.9387401711281270e+07,     -2.7941610678845897e+07
      2.8799999999999826e+00,     -1.7954592720081605e+07,      1.4823070837569579e+07
      2.8899999999999824e+00,     -1.1635804774534662e+09,      4.2355183693156707e+08
      2.8999999999999821e+00,      1.3948001298663754e+09,      4.6565074208862042e+08
      2.9099999999999819e+00,      2.3783915415340424e+09,      1.9740509620630553e+09
      2.9199999999999817e+00,      1.8315487479260545e+07,      1.1014006692488834e+08
      2.9299999999999815e+00,     -4.8738811525828227e+07,      3.7196679824486606e+07
      2.9399999999999813e+00,     -2.2302930715943124e+07,      6.0610147127081379e+07
      2.9499999999999811e+00,     -5.9429930648761988e+07,     -5.0570725312129229e+07
      2.9599999999999809e+00,      4.9552839979644857e+07,     -4.5787010186709583e+07
      2.9699999999999807e+00,     -2.7136650690434739e+07,     -3.6312582770796761e+07
      2.9799999999999804e+00,     -1.7751186356445558e+07,     -3.0293726653055601e+07
      2.9899999999999802e+00,      1.6384025895971734e+07,     -3.5280295189991318e+07
      2.9999999999999800e+00,      7.8713589281222805e+07,      6.6510275271351688e+07
      3.0099999999999798e+00,     -2.3198256478598811e+07,     -2.3655206491580075e+06
      3.0199999999999796e+00,      7.4213507771465898e+07,      9.5554869991137683e+07
      3.0299999999999794e+00,      6.8060203234164461e+07,     -1.0243652719239174e+08
      3.0399999999999792e+00,      1.6535835642829936e+07,      4.4752867990281738e+07
      3.0499999999999790e+00,      2.3128186415821210e+07,     -7.4642873786091870e+06
      3.0599999999999787e+00,      1.9412341605654570e+08,      4.1120587070921749e+08
      3.0699999999999785e+00,     -3.8240173237869942e+08,      1.3138293881530401e+08
      3.0799999999999783e+00,     -1.4115399213291630e+08,      6.2057058147234464e+08
      3.0899999999999781e+00,     -1.4121958279906020e+08,      8.6912533276552573e+07
      3.0999999999999779e+00,     -2.5287592613896690e+07,     -1.6978455313384064e+07
      3.1099999999999777e+00,      7.7900356168535382e+07,      5.3451129944069439e+08
      3.1199999999999775e+00,     -4.3226886906534010e+08,     -4.8304101539586626e+07
      3.1299999999999772e+00,      1.5334233341821223e+07,      4.2102050584028965e+08
      3.1399999999999770e+00,      3.8551396763145126e+07,      4.2029075913866647e+07
      3.1499999999999768e+00,      4.5327867586044498e+07,      2.6180287261431322e+07
      3.1599999999999766e+00,      2.2799710385427646e+07,      2.9938754735302966e+07
      3.1699999999999764e+00,     -5.6303425746684656e+07,     -4.9779053045912273e+06
      3.1799999999999762e+00,     -2.3283652184618071e+07,      6.3682418766612075e+07
      3.1899999999999760e+00,     -1.3081595738863160e+08,     -1.2935107817620960e+08
      3.1999999999999758e+00,      9.5512528938999966e+07,      8.5568147153990984e+07
      3.2099999999999755e+00,      4.0482435847769439e+07,     -6.0159088947753623e+07
      3.2199999999999753e+00,     -1.8061048705947459e+07,     -3.1784452658695288e+07
      3.2299999999999751e+00,     -8.7361637863937542e+06,     -3.6284650904856026e+07
      3.2399999999999749e+00,     -7.0508885567537248e+06,      3.7247706606983311e+07
      3.2499999999999747e+00,      1.4981984933696724e+06,      2.5846938061842993e+07
      3.2599999999999745e+00,     -4.5395823171154052e+07,     -1.6436833443031299e+08
      3.2699999999999743e+00,      7.2895880145465247e+06,      1.8846669910783481e+07
      3.2799999999999740e+00,     -9.5374594862277672e+07,     -1.0556850864218703e+07
      3.2899999999999738e+00,     -4.6447486111789301e+07,      5.3512435348240368e+07
      3.2999999999999736e+00,     -6.3526730084152341e+07,      4.2367419584646963e+07
      3.3099999999999734e+00,      2.3982104688061938e+07,     -9.5758671649988964e+07
      3.3199999999999732e+00,     -3.8695598350052118e+07,     -3.5469862805569124e+08
      3.3299999999999730e+00,     -5.2286505673768736e+07,     -1.8745953083418373e+07
      3.3399999999999728e+00,      1.5451839593917391e+08,     -1.1144943278138493e+08
      3.3499999999999726e+00,      1.0104130064605828e+08,     -9.9771324956164137e+06
      3.3599999999999723e+00,     -4.3216519116811991e+07,     -3.1767521753331494e+07
      3.3699999999999721e+00,     -2.4639212965829968e+08,     -1.0838668857589054e+08
      3.3799999999999719e+00,      1.9821316468449420e+08,      1.4935655847527033e+08
      3.3899999999999717e+00,     -2.6220289094363270e+09,      2.0843965817035997e+09
      3.3999999999999715e+00,      1.4441989357865214e+09,      1.2622385917114699e+09
      3.4099999999999713e+00,     -5.6085156376000748e+09,      7.3148767889424086e+07
      3.4199999999999711e+00,     -1.3982039161000368e+08,      4.0008840066902858e+08
      3.4299999999999708e+00,     -1.3759663185055569e+08,     -3.5994159278560005e+07
