                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      1.4600000000000011e+00,     -1.2052587105934115e+07,     -1.9387553131695289e+07
      1.4700000000000011e+00,      1.1301128923265782e+08,      5.8531108787528537e+07
      1.4800000000000011e+00,     -2.4897999653249969e+09,      1.6541823359921820e+10
      1.4900000000000011e+00,     -1.2585032564103584e+09,     -9.6687836387666667e+08
      1.5000000000000011e+00,     -8.2715010298762207e+09,     -1.7283164821344378e+09
      1.5100000000000011e+00,      1.2736599107942047e+09,      5.8218328024433315e+08
      1.5200000000000011e+00,     -1.9456010652109712e+07,      9.4293142876549256e+08
      1.5300000000000011e+00,      5.2195210330442220e+07,     -6.7496168851768747e+07
      1.5400000000000011e+00,     -2.3896245584153607e+07,     -3.0700640851034515e+07
      1.5500000000000012e+00,      2.2259932268652797e+08,      1.1467724084373128e+08
      1.5600000000000012e+00,      3.0025369767038554e+07,      3.7640645079581648e+07
      1.5700000000000012e+00,      5.2092629577725232e+07,     -5.3322864519117557e+07
      1.5800000000000012e+00,     -3.0612881948958561e+07,     -3.5650903955329964e+06
      1.5900000000000012e+00,      2.5984855711103827e+07,      1.9380881055572671e+06
      1.6000000000000012e+00,      3.0170078145576149e+07,     -3.4991870294132039e+07
      1.6100000000000012e+00,      7.6675540990510911e+07,     -4.2963165847496785e+07
      1.6200000000000012e+00,     -2.1980821714141855e+08,     -9.2474387752734885e+07
      1.6300000000000012e+00,     -1.5033183229520256e+07,     -6.8513690962348610e+07
      1.6400000000000012e+00,      1.9011017292807996e+06,     -2.1512669288396422e+07
      1.6500000000000012e+00,      6.7252540115284622e+07,      3.6662299712418024e+06
      1.6600000000000013e+00,      1.1133492336206618e+08,     -1.6757249214021671e+08
      1.6700000000000013e+00,     -3.7208790220197308e+08,      4.2225499170932717e+09
      1.6800000000000013e+00,      3.5025220779115133e+09,     -2.3908107729025760e+09
      1.6900000000000013e+00,     -3.4916845775000924e+08,     -9.4631155373967934e+08
      1.7000000000000013e+00,     -4.4934780448657781e+07,     -1.0315771643654723e+08
      1.7100000000000013e+00,      4.7514594146813303e+07,      6.3859087403291576e+07
      1.7200000000000013e+00,     -2.4532278608658724e+07,      2.8448046217462342e+07
      1.7300000000000013e+00,     -2.7819734653373271e+07,     -1.7610925058055278e+07
      1.7400000000000013e+00,     -2.8369072826238650e+08,     -1.4165033898962443e+06
      1.7500000000000013e+00,     -2.4414071816477811e+08,      2.9573432628980803e+08
      1.7600000000000013e+00,      5.7729391554238006e+07,      5.7894657071563326e+07
      1.7700000000000014e+00,     -3.6234985826493273e+06,      1.2573149031931551e+06
      1.7800000000000014e+00,      6.5190405441323686e+06,      3.5086212205647402e+07
      1.7900000000000014e+00,     -1.1037757503270467e+08,     -2.0262411739250500e+07
      1.8000000000000014e+00,      1.0559467618811518e+07,     -2.8027496326139194e+08
      1.8100000000000014e+00,      9.9398496046423763e+07,     -2.1144450734478381e+08
      1.8200000000000014e+00,      3.2662334171973474e+07,      5.2529429618173465e+06
